,short_description
1098,incid gujarat done viral give name riot rajasthan
1099,indian union muslim leagu flag done call pakistani flag viral
1100,result assembl elect three year old letter written narendra modi spread rapidli
1101,pictur use post actual taken citi karachi pakistan
1102,former rbi governor urjit patel made viral social media context wrong comment prime minist
1103,pin prevent stolen press cancel button twice atm
1104,ayyakanu lead farmer social media associ congress viral
1105,first tweet account made name pakistan prime minist tweet retweet time
1106,screenshot tweet made bjp spokesperson offici twitter handl went viral social media fake
1107,pictur former rajasthan chief minist ashok gehlot get viral social media wrong context
1108,pictur social media describ prime minist narendra modi initi build road far flung area
1109,congress leader beaten social media done viral call bjp bjp
1110,video went viral wrong refer gehlot actual flag process occa milad un nabi
1111,milad un prophet festiv done wrong context connect pakistani flag
1112,pictur maratha movement facebook twitter told ayodhya ayodhya
1113,pictur edit protest odisha claim women sabarimala
1114,pictur went viral commun color social media actual conver imagin digit artist
1115,old pictur taken differ women includ sister niec done viral wrong context
1116,pictur actual peopl kill blast eastern democrat republ congo
1117,post went viral social media actual fake pictur eight year old bharatiya janata parti karnataka
1118,janam tv claim rajiv kuttitur pune sourc behind news rajiv kuttur bjp member
1119,meena pictur associ maha kumbh mecca citi
1120,yogi adityanath present kumbh logo photoshop photograph viral
1121,kamal nath pictur former japan foreign minist viral social media
1122,former aam aadmi parti member share video tweet accu kejriw
1123,video actual relat disturb eviam uttar pradesh civic elect
1124,old video beaten forest offic viral time bjp leader
1125,post share social media voiceov present pictur link incid rape
1126,fan parodi account believ indian captain virat kohli would support foreign brand
1127,rti repli support journalist abhijeet majumdar claim air india ak antoni eight paint
1128,speech clip get viral social media wrong context
1129,manifesto congress said ban impo branch rss govern premi
1130,quot throw go viral background abp news
1131,video share four lakh time claim modi win elect pakistan
1132,sanskrit ver combin islam data viral
1133,clip rahul gandhi statement morph video kaun banega crorepati
1134,pictur akhilesh yadav reign viral social media describ pictur year
1135,pictur march peopl seen hit slipper poster lord ram
1136,nehru viral pictur pet dog year second pictur london olymp
1137,video year littl girl actual recit part ramayana stage
1138,know sardar patel statu uniti bollywood actor shah rukh khan congress presid rahul gandhi mp last week
1139,person seen video almost year old describ kashmiri terrorist actual muzaffarpur bihar
1140,rbi spokesperson said quot noth governor urjit patel
1141,viral post claim polic uniform cpm worker polic uniform kerala polic told boom
1142,fake post went viral show widespread inequ made show statu uniti background poor famili
1143,video street play base murder senior karnataka journalist gauri lankesh becom social
1144,video clip speech given madhya pradesh octob rahul gandhi sankalp yatra
1145,pictur teacher bangladeshi madrasa accu rape ad pictur grenad assam
1146,remov viral fake post narendra modi shivl associ wrong manner shivl hit slipper
1147,law minist ravi shankar prasad ask rahul gandhi repli critic shivl
1148,even fake tweet modi becom prime minist leav countri also name shahrukh
1149,bizarr stori indian pretend foreign get social media like india
1150,muslim shown post babri masjid pakistan
1151,nation presid ambedkarit parti india comment bhagwad geeta viral video
1152,photo silicon doll viral social media mani time
1153,kyrgyzstan milan two factor expo viral video name fake beef
1154,video jk polic offici seen snatch ak jawan
1155,congress facebook page disabl sponsor adverti pakistan twitter user expo
1156,support rahul model tanisha singh semi photoshoot gener elect
1157,pictur blood stain shoe taken israel pilistin conflict done kashmir viral pictur
1158,prime minist modi madam tusod wax museum measur pictur statu fal statement
1159,congress presid speech raipur clip went viral
1160,effort give commun angl accid fake news recent viral
1161,origin pictur modi seen sit next gurdeep singh chawla visit offici interpret visit canada
1162,known religi inclin former congress former father artist play role ram occa dussehra
1163,video suicid made viral tell decea train driver train accid amritsar octob
1164,put cut head child plate process actual part feat
1165,viral pictur dead bodi fill suitca actual relat murder navi mumbai
1166,post made viral connect senior journalist ravish kumar cost human life utterli wrong
1167,akshay pictur swachh bharat abhiyan organ uttar pradesh becom viral messag join bjp
1168,bill made edit sampl bill use trader handhald bill machin
1169,pictur year manag director abu dhabi invest author yui hh sheikh hame bin
1170,apart congress time india nation herald news websit interview marathi channel gadkari
1171,post viral claim attack made muslim youth claim complet wrong
1172,pictur taken dessert shop bikan actual morphg
1173,although aishwarya rai bachchan given similar comment past special screenshot account
1174,pictur tej pratap son lalu prasad yadav receiv doctor degr taxila univ
1175,pictur gone viral juli name bihar decay road although bihar even
1176,word shudra ad pictur went viral
1177,strang claim share adverti real video simultan
1178,fake poster becom increasingli viral facebook call narendra modi thief
1179,senior journalist ravish refu say bjp posit like straw thief beard
1180,incid sinc april attack found guilti attempt murder
1181,describ old pictur old pictur near old delhi constitu vidisha extern affair minist sushma swaraj
1182,pictur made viral shakti ralli haryana year
1183,context meetu campaign bjp mp said women prose alleg exchang habitu lakh rupe
1184,post went viral bjp mp poonam mahajan describ kalpana tiwari
1185,truth behind photo made viral women activist ekta parishad get hand rahul gandhi stage
1186,truth viral pictur take hiraben hospit
1187,howev asaduddin owaisi critic deci exil rohingya
1188,facebook post without evid viral
1189,viral video share mani peopl includ actor paresh rawal ram setu bridg
1190,viral pictur true caption spread wrong
1191,local polic told boom violent murder hyderabad commit vengeanc
1192,odisha petrol pump attack due rise fuel price
1193,digvijay singh congress facebook page ravish kumar tell lack ambul uttar pradesh
1194,post recent went viral bjp local bodi elect candid mohammad farooq khan terrorist
1195,activist kavita krishnan facebook page barkha dutt protest farmer delhi
1196,photo viral avinash da twitter account
1197,stunt perform fighter jet actual remot control turbin jet f
1198,recent karnataka case one person behead anoth person come light
1199,photo real attempt made defam person stand photo name someon el
1200,share post turn headlin news report publish juli year
1201,sabarimala verdict video activist trupti desai share illu caption social media
1202,post share two day gandhi jayanti turn repli rti appeal file present
1203,least ten news site quot screenwrit pirat caribbean stori jacksparrowiskrishna
1204,commun color given india pakistan pakistan
1205,launch ayushman bharat scheme women hold poster modi chor
1206,coca cola founder john pembberton neither sold shikanji invent end us entrepreneur
1207,atmosph creat spread pictur hospit hospit peopl introduc lie
1208,pakistani journalist hamid mir share video accu indian armi tortur kashmir
1209,indian express incorrectli present amit shah quotat said crore intrud enter india
1210,tweet tajind bagga wear yellow shirt clearli seen prime minist chor promot coat
1211,bihar terribl video mob get woman nake parad spread fake claim
1212,divya speak part modi particip extern examin get ba degr
1213,video dragonari go viral social media video airplan goe round due stormi wind
1214,former member infosi board mohanda pai tweet articl fake news site bbc anti site site
1215,soldier priyanka chaturvedi realli plead hang troop
1216,current situat mani role unpaid bill oil bond investig boom
1217,prime minist narendra modi saturday inform facebook fan page dedic former prime minist manmohan singh
1218,although actor claim shoot video republ tv time india claim
1219,muslim clerk share fiction sholay e al jazeera screenshot stori behind viral tweet
1220,local indian newspap follow due implicit report suicid india
1221,kbc start th season soni channel
1222,boom verifi video woman district collector kodagu poonam madam gujarat
1223,sitharaman tweet republ parodi handl name nirmala sitharaman told tweet fake
1224,video primari class children school uniform seen go viral video go viral
1225,gotman pictur competit misu peopl
1226,hindi websit told news ian told ganga threaten river wwf india said report relea
1227,mumbai congress chief sanjay nirupam tweet photoshop pictur prime minist narendra modi septemb
1228,bhima armi post view one lakh time share time facebook due graphic materi
1229,right wing support alleg rahul gandhi taken pictur mansarovar googl bought concret evid
1230,video attack hindu templ becom increasingli viral claim attack done muslim boom investig
1231,video polic beat crimin among public gujarat
1232,news death anim due flood kaziranga noshan park assam report sinc
1233,talk boom assam adgp harmeet singh said indian armi inform state polic adverti
1234,pictur woman get nake publik fake stori viral
1235,man went hajj mecca pope benedict xvi
1236,photo popular malayalam tv show parasaparam go viral claim isi ip offic kerala
1237,video spread rapidli claim naga sadhu beaten muslim dehradun polic
1238,fast spread messag whatsapp bank close six day begin month
1239,fal news spread pictur woman passeng injur train accid
1240,twitter handl warrenbuffet waran buffett
1241,boom spoke air india offici told letter fake attempt harm air line
1242,ground report boom verifi viral video reveal long queue liquor
1243,conver indian express uae ambassador ahm albanna said offici announc special amount far
1244,person fell unconsci stage secur guard senior polic offic director gener polic amitabh
1245,video wrestl match indian wrestler kavita devi bull bull viral rss vs pakistan claim
1246,talk boom sbi offici said atm brown label machin maintain mainten
1247,bjp mp paresh rawal live reput spread fake news actor given rahul gandhi
1248,fake news websit suddenli activ month may close one pay guest
1249,accord swachh bharat mission offici eight half lakh toilet built prepar week march
